freqAC, 0.114570388617, 0.0856069980798, 0.000209518015779
freqAT, 0.0522384401387, 0.039032564161, 9.55298699548e-05
freqAG, 0.155147860828, 0.115926486628, 0.000283723153473
freqCA, 0.118140372808, 0.141470645753, 0.000341362884277
freqCT, 0.0866098018309, 0.103713441073, 0.000250256293061
freqCG, 0.017990857507, 0.0215436786653, 5.19840158217e-05
freqTA, 0.0287669889824, 0.0340628941092, 8.32057600888e-05
freqTC, 0.165064892092, 0.195452779013, 0.000477434389079
freqTG, 0.0414696618748, 0.049104086008, 0.000119947024662
freqGA, 0.137096952094, 0.133411356631, 0.000326259401186
freqGC, 0.0392833069843, 0.0382272486565, 9.34852891883e-05
freqGT, 0.043620476243, 0.0424478212214, 0.000103806760407
