freqCT, 0.111876437815, 0.134143874327, 0.000219925186306
freqGA, 0.170712341968, 0.166188622775, 0.000283652489993
freqTC, 0.19723034675, 0.233736441737, 0.000392098694377
freqAG, 0.183470300423, 0.13702715795, 0.000224547461617
freqGT, 0.0443881948167, 0.043211948703, 7.37546087234e-05
freqCA, 0.0353015424915, 0.0423278196195, 6.93952941382e-05
freqGC, 0.0489959893865, 0.0476976409778, 8.14108354966e-05
freqTA, 0.032132411322, 0.0380799182814, 6.38800100197e-05
freqAT, 0.0579333464532, 0.0432682662901, 7.09040420116e-05
freqCG, 0.0192794467932, 0.023116750392, 3.7899275403e-05
freqAC, 0.0587431601282, 0.043873086068, 7.1895164851e-05
freqTG, 0.0399364816536, 0.0473284728798, 7.93946903835e-05
